,brand,model,category,id
237,RENAULT,RENAULT LOGAN EXPRESSION HI-FLEX 1.6 8V 4P,Sedã,238
238,TOYOTA,TOYOTA HILUX CHASSI D4-D 4X4 2.5 102CV TB DIES.,Pick-up,239
239,HYUNDAI,HYUNDAI HB20S PREMIUM 1.6 FLEX 16V AUT. 4P,Sedã,240
240,TOYOTA,TOYOTA ETIOS X 1.3 FLEX 16V 5P MEC.,Hatch,241
241,HONDA,HONDA CIVIC SEDAN TOURING 1.5 TURBO 16V AUT.4P,Passeio,242
242,FORD,FORD KA SEL 1.5 16V FLEX 5P,Hatch,243
243,VW - VOLKSWAGEN,VW - VOLKSWAGEN NIVUS COMFORTLINE 1.0 200 TSI FLEX AUT,SUV,244
244,CITROEN,CITROEN BERLINGO FURGÃO 1.6 16V FLEX 5P,Passeio,245
245,FIAT,FIAT UNO MILLE 1.0 ELECTRONIC 4P,Hatch,246
246,MERCEDES-BENZ,MERCEDES-BENZ C-180 CGI AVANT. 1.6/1.6 FLEXTB 16V AUT.,Sedã,247
247,HONDA,HONDA FIT EX/ S 1.5/ EX 1.5 FLEX 16V 5P MEC.,Hatch,248
248,HYUNDAI,HYUNDAI TUCSON 2.0 16V AUT.,SUV,249
249,VW - VOLKSWAGEN,VW - VOLKSWAGEN AMAROK SE CD 2.0 16V TDI 4X4 DIESEL,Pick-up,250
250,DODGE,DODGE 2500 LARAMIE SLT 6.7 TDI  CD 4X4 DIESEL,Pick-up,251
251,GM - CHEVROLET,GM - CHEVROLET D-20 S / LUXE 3.9/4.0 DIESEL,,252
252,JEEP,JEEP RENEGADE LONGITUDE 1.8 4X2 FLEX 16V AUT.,Passeio,253
253,VW - VOLKSWAGEN,VW - VOLKSWAGEN FOX TRENDLINE 1.0 FLEX 12V 5P,Hatch,254
254,RENAULT,RENAULT STEPWAY ICONIC FLEX 1.6 16V AUT.,Passeio,255
255,VW - VOLKSWAGEN,VW - VOLKSWAGEN SAVEIRO TRENDLINE 1.6 T.FLEX 8V,Passeio,256
256,HYUNDAI,HYUNDAI HB20 5 ANOS 1.0 FLEX 12V MEC.,Hatch,257
257,RENAULT,RENAULT SANDERO EXPRESSION FLEX 1.6 16V 5P,Hatch,258
258,HYUNDAI,HYUNDAI HB20S EVOLUTION 1.0 FLEX 12V MEC,Sedã,259
259,VW - VOLKSWAGEN,VW - VOLKSWAGEN KOMBI FURGÃO 1.4 MI TOTAL FLEX 8V,Van/Utilitário,260
260,PEUGEOT,PEUGEOT 208 GRIFFE BUS. 1.6 FLEX 5P AUT.(PCD),Hatch,261
261,MERCEDES-BENZ,MERCEDES-BENZ CLA-200 1.6 TB 16V FLEX AUT.,Sedã,262
262,VW - VOLKSWAGEN,VW - VOLKSWAGEN POLO 1.6 MSI FLEX 16V 5P,Hatch,263
263,VW - VOLKSWAGEN,VW - VOLKSWAGEN GOL 1.6 MI POWER TOTAL FLEX 8V 4P,Hatch,264
264,GM - CHEVROLET,GM - CHEVROLET CAMARO SS 6.2 V8 16V,Passeio,265
265,JEEP,JEEP CHEROKEE LIMITED 3.7 4X4 V6 12V AUT.,SUV,266
266,FIAT,FIAT ARGO DRIVE 1.0 FIREFLY,,267
267,TOYOTA,TOYOTA HILUX CD SRX 4X4 2.8 TDI 16V DIESEL AUT.,Pick-up,268
268,FIAT,FIAT PALIO ATTRA./ITALIA 1.4 EVO F.FLEX 8V 5P,Hatch,269
269,GM - CHEVROLET,GM - CHEVROLET ONIX HATCH LTZ 1.4 8V FLEXPOWER 5P AUT.,Hatch,270
270,GM - CHEVROLET,GM - CHEVROLET ONIX HATCH 1.0 12V FLEX 5P MEC,Hatch,271
271,MERCEDES-BENZ,MERCEDES-BENZ C-180 1.6 TURBO 16V/FLEX 16V AUT.,,272
