,poster_id,car_id,car_mileage,car_year,title,price,publish_date,location,professional,link,id
228,918398375,51,0,2010,Altomovel,15500,2021-08-14T18:30:00,Fortaleza,False,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/altomovel-918398375,229
229,918398344,189,38200,2018,Venda de carro,41000,2021-08-14T18:30:00,Caucaia,False,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/venda-de-carro-918398344,230
230,895231043,190,60000,2016,Cobalt Ellite 1.8 Automático 2016/2016,57900,2021-08-14T18:30:00,Juazeiro do Norte,True,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/autos-e-pecas/carros-vans-e-utilitarios/cobalt-ellite-1-8-automatico-2016-2016-895231043,231
231,918399207,83,64500,2017,Corrola xei 2017 branco todas revisões feitas na concessionária R$91.000,91000,2021-08-14T18:33:00,Maracanaú,False,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/corrola-xei-2017-branco-todas-revisoes-feitas-na-concessionaria-r-91-000-918399207,232
232,910740947,192,,,Onix 1.0 LT *,64990,2021-08-14T18:33:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/onix-1-0-lt-910740947,233
233,852683085,96,4000,2021,Hilux sw4 2021 diesel 7lugares ,410000,2021-08-14T18:34:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hilux-sw4-2021-diesel-7lugares-852683085,234
234,910082536,35,50,2016,Ônix LT 2016,40990,2021-08-14T18:36:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/onix-lt-2016-910082536,235
235,906574538,39,72000,2016,Classic LS 1.0 2015/2016 Extra!!,36990,2021-08-14T18:35:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/classic-ls-1-0-2015-2016-extra-906574538,236
236,918399850,193,108470,2012,Siena atrative 1.4,31000,2021-08-14T18:35:00,Fortaleza,False,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/siena-atrative-1-4-918399850,237
237,918399771,194,0,1955,Jeep Willys 1954,50000,2021-08-14T18:35:00,Fortaleza,False,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/jeep-willys-1954-918399771,238
238,854002852,195,0,2016,Honda Civic 2016,67990,2021-08-14T18:38:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-2016-854002852,239
239,914038024,28,50,2017,Hb20 2017,44990,2021-08-14T18:38:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hb20-2017-914038024,240
240,915243519,196,82000,2018,Ford ranger 2018 2.2 ,153900,2021-08-14T18:38:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ranger-2018-2-2-915243519,241
241,884322663,83,5000,2021,Corolla 2.0 Xei flex 5mil KM ,134900,2021-08-14T18:40:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/corolla-2-0-xei-flex-5mil-km-884322663,242
242,905399561,197,,,Hyundai Hb20 1.0 COMFORT PLUS 12V FLEX 4P MANUAL,49990,2021-08-14T18:41:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/hyundai-hb20-1-0-comfort-plus-12v-flex-4p-manual-905399561,243
243,880168513,198,7900,2020,Troller tx4 2020 automático ,215990,2021-08-14T18:44:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/troller-tx4-2020-automatico-880168513,244
244,914613118,199,102200,2013,Pajero Tr4 4x4 2013 automática,57900,2021-08-14T18:43:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/pajero-tr4-4x4-2013-automatica-914613118,245
245,902618537,200,37000,2011,S10  2011 4X4 TURBO DIESEL 37 MIL KM COM LAUDO CAUTELAR,79900,2021-08-14T18:45:00,Fortaleza,False,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/s10-2011-4x4-turbo-diesel-37-mil-km-com-laudo-cautelar-902618537,246
246,846623275,201,115000,2014,SW4 14/14 7 LUGARES! Extra ,155900,2021-08-14T18:47:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/sw4-14-14-7-lugares-extra-846623275,247
247,908475270,39,153000,2013,Chevrolet Classic LS 1.0 Flex (2012/2013) Manual ,25900,2021-08-14T18:46:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-classic-ls-1-0-flex-2012-2013-manual-908475270,248
248,880400758,96,31000,2019,Toyota Hilux Sw4 Srx 2.8 Tdi 4x4 diesel,288900,2021-08-14T18:49:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/toyota-hilux-sw4-srx-2-8-tdi-4x4-diesel-880400758,249
249,877507890,202,0,2010,Santa Fe 4x4 4P Automática Blindada 7 Lugares   ,43990,2021-08-14T18:49:00,Fortaleza,False,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/santa-fe-4x4-4p-automatica-blindada-7-lugares-877507890,250
250,917106966,203,59,2015,BMW X5 3.0 4X4 TURBO DIESEL 4P AUTOMÁTICA,239999,2021-08-14T18:49:00,Fortaleza,False,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/bmw-x5-3-0-4x4-turbo-diesel-4p-automatica-917106966,251
251,885225086,204,15000,2020,Renault Kwid Zen 2019/2020  !!!,43500,2021-08-14T18:50:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/renault-kwid-zen-2019-2020--885225086,252
252,908241356,205,0,2012,Logan 2012 ,19900,2021-08-14T18:49:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/logan-2012-908241356,253
253,914588191,109,65967,2019,Ford Ka SE 1.0 2019,46900,2021-08-14T18:53:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-se-1-0-2019-914588191,254
254,896133081,83,20000,2020,Compramos o seu carro,0,2021-08-14T18:52:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/compramos-o-seu-carro-896133081,255
255,913771577,207,31313,2019,ONIX JOY 1.0 2019,48900,2021-08-14T18:52:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/onix-joy-1-0-2019-913771577,256
256,860782067,208,204777,2013,Ducato Minibus 2.3 Turbo Diesel - 2013,0,2021-08-14T18:52:00,Juazeiro do Norte,True,https://ce.olx.com.br/regiao-de-juazeiro-do-norte-e-sobral/autos-e-pecas/carros-vans-e-utilitarios/ducato-minibus-2-3-turbo-diesel-2013-860782067,257
257,918404862,1,58000,2016,BMW 320i,145900,2021-08-14T18:52:00,Fortaleza,False,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/bmw-320i-918404862,258
258,883176331,209,100000,2012,Saveiro CE 1.6 2012 ** Carro Extra Novo **,38900,2021-08-14T18:51:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/saveiro-ce-1-6-2012-carro-extra-novo-883176331,259
259,838771719,210,30000,2017,TROLLER T4 16/17 (PRONTO ENTREGAR),0,2021-08-14T18:56:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/troller-t4-16-17-pronto-entregar-838771719,260
260,906678935,211,5600,2021,Ford Territory 1.5 Turbo Titanium,189900,2021-08-14T18:56:00,Fortaleza,True,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/ford-territory-1-5-turbo-titanium-906678935,261
261,918407918,212,999999,2007,Troco Citroen Picasso automático,0,2021-08-14T18:58:00,Fortaleza,False,https://ce.olx.com.br/fortaleza-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/troco-citroen-picasso-automatico-918407918,262
